X1	X2	X3	X4	X5
0.5157	0.1433	-1.2764	1.3846	-0.1689
2.6241	4.9312	-1.3770	4.0873	0.0668
-0.9901	-1.9107	-1.1274	0.6576	-0.1761
-0.9020	1.0520	0.4199	1.8598	0.4768
0.7689	0.5285	0.2698	2.4393	-0.0451
1.5705	3.7649	-0.5025	2.2092	-1.4581
1.0867	-1.1866	0.1102	-2.0934	-0.5196
-0.4944	-0.1792	-0.8956	1.0056	1.0816
2.0933	0.2068	-1.6222	1.4162	0.3121
-0.6928	-0.0515	1.0912	0.8747	-0.0078
-2.5560	-0.2918	3.4593	-0.3273	-1.0745
-1.2822	1.4913	-1.1643	1.0191	0.4507
-0.5652	-1.3548	1.9312	-1.5109	1.7364
1.5339	1.7111	-5.3370	0.2842	-0.2406
-1.1893	0.1689	-1.0366	-0.6303	-0.4203
-0.5992	1.9251	-4.2601	0.3344	-0.5967
-0.2730	-0.0096	1.3760	0.7929	0.0658
0.9046	1.5340	-2.6496	-3.4079	1.2490
-0.0637	2.6473	0.7407	1.9988	-0.4397
-0.2000	-0.0552	-0.2361	-2.7213	-0.6378
-2.8277	-1.8997	0.2525	-3.7927	0.6529
-2.4079	-0.2523	1.8607	-1.2266	-0.0466
1.4557	-1.1965	-0.5656	-1.1983	1.2169
-0.3343	1.3397	0.0820	1.7374	1.2085
-0.2424	-1.3107	-0.8247	-0.4049	-2.2806
1.2506	-1.4542	0.8714	-0.3203	-0.3475
-0.1299	-1.5591	0.2743	-2.0337	-1.5564
1.0779	2.1497	-0.1821	0.1002	-0.4201
-3.1313	4.0999	-1.7474	4.0303	1.0340
0.1172	3.9581	0.7425	2.4929	0.8000
-1.6230	-0.7884	-0.7834	-0.5615	0.1938
0.6478	2.2789	-1.8281	1.0760	-0.6888
-1.7457	-0.2956	-1.6246	-0.7146	-1.5571
0.3641	1.2871	-0.7472	0.3724	-0.2914
1.8763	-2.0713	2.6293	-1.0877	1.1953
-1.6707	0.1300	0.8516	-3.0607	1.4248
-0.2464	2.8191	0.1686	1.7592	-0.0916
-2.2301	0.8574	2.3084	2.3649	-1.0793
-0.0862	-1.1213	0.1448	0.2210	0.6612
-0.1944	0.9851	-0.8212	-0.3308	-1.5610
1.1290	0.4142	-0.4954	0.4339	0.7418
-0.4319	-3.3098	0.7003	-2.2203	-0.7379
0.2844	1.1397	-1.3201	-0.9794	0.5817
1.6067	1.5646	-0.6066	2.7881	2.1056
0.6538	-1.8903	-2.8400	-1.3377	-1.1906
-0.7944	0.7717	2.1108	1.2099	-0.2203
0.9652	1.3177	-0.7177	1.5120	-1.1729
-1.0072	0.4158	-1.2077	-1.1206	-0.9867
-0.4346	-0.0279	2.3258	-0.7937	1.3094
-3.2451	-1.4826	0.8704	-2.7763	-1.1411
-1.0532	-3.7049	0.9291	-0.3165	0.7315
-0.3977	-2.4772	-0.6197	-2.5912	-0.6613
0.5239	-1.2531	-1.2019	0.3211	0.3465
0.2072	-0.4959	0.6479	0.6632	0.8038
-0.1837	0.4556	0.7901	3.7493	1.1896
-2.0315	0.6395	-2.0323	-2.9164	0.6653
-1.4301	0.8831	0.3038	-1.0052	0.2205
-0.1045	-0.6211	1.3641	0.4978	-1.9335
0.5040	0.8473	-0.1937	-0.3191	-0.0029
-1.2029	-0.0283	0.9593	0.8648	0.5491
-0.1001	-0.1157	0.3690	-2.3563	2.5946
-1.5922	-1.5834	-2.6894	-1.0848	-0.7536
-1.5956	0.2370	-1.7559	0.9520	0.4767
0.9266	2.1666	0.7796	-1.2673	0.5134
0.5616	1.8906	-2.1307	-0.4911	-0.2572
0.3827	0.6115	-0.3124	0.4445	-0.0398
-1.5703	-0.2170	-0.4946	1.0501	-1.9068
0.6993	0.6583	0.0756	-0.9357	-0.3099
1.1941	-0.1233	-1.0611	-1.3579	-1.8823
0.8304	0.8412	-0.9297	0.8809	-0.4668
-2.6825	1.5176	-0.7792	3.8794	-0.6946
-1.8112	-1.0163	-4.0152	-1.1695	0.4677
1.7126	-0.7302	0.2261	0.8214	0.6083
0.5725	0.8071	0.4531	1.4958	-0.0479
1.8304	1.8040	0.5261	0.7231	-1.0499
-2.1948	2.5215	2.7671	2.7604	-0.1730
0.7001	-3.2164	0.6965	-4.5293	0.7776
2.9981	1.6359	-0.2401	2.1358	-1.2170
-0.9532	1.9375	-1.1301	1.1503	1.9853
-0.6376	0.7569	2.8459	-0.6207	-0.9292
-0.2489	-2.5178	0.7660	-2.2317	0.7111
3.1699	1.7613	1.7703	0.5732	-0.2851
2.3418	1.5676	-0.3782	1.6916	-0.4568
-0.2834	1.2507	-0.1354	0.4412	1.1121
-1.2470	-0.1200	-1.0839	-0.6419	0.1966
-0.9925	3.6792	1.1039	1.4983	0.2537
2.3667	-1.0924	0.5509	-0.4384	-0.8268
-1.1971	0.7915	-0.8677	0.1820	-1.5007
0.7415	3.0519	1.0660	-0.2670	-0.0971
0.4056	-3.6354	2.5828	-1.9646	0.0914
-0.3396	-0.6902	1.5910	2.2486	-0.4297
3.1084	3.0579	-2.6695	2.8207	4.3355
2.9893	-0.4162	2.8812	0.0738	-1.9399
-2.0381	-0.9821	0.0178	-2.7171	-0.5445
0.1389	2.2389	-1.3052	0.1572	2.6001
-3.0019	0.9970	1.4339	1.1358	0.2185
1.1193	0.6874	1.5360	0.2693	0.1167
-0.5619	-2.3131	-0.8251	-1.3757	-0.1271
-0.8899	-2.0068	2.5113	-1.6372	-0.2638
-0.4731	-1.4872	1.0678	-1.7920	-1.2464
